交易日期,契約,到期月份(週別),T,K,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,P,F,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%,Implied Volatility
2024/5/2,TXO,202405,0.0356,15800,賣權,1.8,1.8,1.8,1.8,21,1.8,1.8,20292,2382,1.4,2.8,26.5,1,,一般,-1,-35.71%,0.49236276817639624
2024/5/2,TXO,202405,0.0356,15900,賣權,-,-,-,-,0,1.9,0.0,20292,9,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,16000,賣權,-,-,-,-,0,2.1,0.0,20292,232,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,16100,賣權,-,-,-,-,0,2.3,0.0,20292,13,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,16200,賣權,-,-,-,-,0,2.5,0.0,20292,46,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,16300,賣權,-,-,-,-,0,2.7,0.0,20292,46,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,16400,賣權,2.8,2.9,2.8,2.9,4,2.9,2.9,20292,62,1.2,12,15,1.1,,一般,-0.4,-12.12%,0.44784043739719775
2024/5/2,TXO,202405,0.0356,16500,賣權,2.4,3.1,2.4,3.1,9,3.1,3.1,20292,91,0.9,12,45,2.4,,一般,-0.2,-6.06%,0.43966659226600613
2024/5/2,TXO,202405,0.0356,16600,賣權,-,-,-,-,0,3.4,0.0,20292,79,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,16700,賣權,3.5,3.7,3.5,3.7,22,3.7,3.7,20292,83,0.9,12,48,2.3,,一般,0.2,5.71%,0.4254055383215779
2024/5/2,TXO,202405,0.0356,16800,賣權,3.6,3.7,3.5,3.6,27,3.7,3.7,20292,464,0.9,12,53,2.8,,一般,0,0.00%,0.4137594181598572
2024/5/2,TXO,202405,0.0356,16900,賣權,3.9,3.9,3.5,3.8,21,3.8,3.8,20292,189,0.9,12,58,1.9,,一般,-0.4,-9.52%,0.4034543468956541
2024/5/2,TXO,202405,0.0356,17000,賣權,2.8,2.8,2.8,2.8,1,4.1,4.1,20292,1054,0.9,4.8,65,2.1,,一般,-2,-41.67%,0.395531179897195
2024/5/2,TXO,202405,0.0356,17100,賣權,-,-,-,-,0,4.4,0.0,20292,204,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,17200,賣權,5,5,4.6,4.6,3,4.6,4.6,20292,162,0.9,12.5,77,3.2,,一般,-0.7,-13.21%,0.3777270812755043
2024/5/2,TXO,202405,0.0356,17300,賣權,5.1,5.1,5.1,5.1,1,5.1,5.1,20292,168,4,12.5,91,3.7,,一般,-0.4,-7.27%,0.37094627716549694
2024/5/2,TXO,202405,0.0356,17400,賣權,6,6,5,5,3,5.1,5.1,20292,266,2.8,5.8,98,2.6,,一般,-0.7,-12.28%,0.3591388891187955
2024/5/2,TXO,202405,0.0356,17500,賣權,6,6.2,5.1,5.1,5,5.1,5.1,20292,594,2.5,7.5,110,3.1,,一般,-0.7,-12.07%,0.3473615283858296
2024/5/2,TXO,202405,0.0356,17600,賣權,6.1,6.6,5.7,5.7,33,5.7,5.7,20292,1706,0.9,6.8,128,3.2,,一般,-0.2,-3.39%,0.34069202930050624
2024/5/2,TXO,202405,0.0356,17700,賣權,6.6,7,6.6,6.6,13,6.6,6.6,20292,374,5.7,7,141,3.5,,一般,-0.3,-4.35%,0.33562258475254086
2024/5/2,TXO,202405,0.0356,17800,賣權,8,8,6.5,6.5,12,6.7,6.7,20292,3331,5,7,161,2.8,,一般,-0.5,-7.14%,0.324282833392933
2024/5/2,TXO,202405,0.0356,17900,賣權,7.6,8,6.8,6.8,29,6.8,6.8,20292,531,0.9,11,167,5,,一般,-0.4,-5.56%,0.312915209706821
2024/5/2,TXO,202405,0.0356,18000,賣權,9.6,9.6,7.1,7.1,69,7.1,7.1,20292,2694,7,12,200,6,,一般,-2.8,-28.28%,0.30278511744843517
2024/5/2,TXO,202405,0.0356,18100,賣權,9.3,9.4,7.9,8,60,8.0,8.0,20292,681,7.5,15,224,5.8,,一般,-1.9,-19.19%,0.295965620078179
2024/5/2,TXO,202405,0.0356,18200,賣權,9.6,10,9.6,9.6,17,8.6,8.6,20292,2788,8,10,223,6.9,,一般,-0.4,-4%,0.2869174026159073
2024/5/2,TXO,202405,0.0356,18300,賣權,10.5,11,9.2,9.2,70,9.2,9.2,20292,1126,1,10.5,271,7.2,,一般,-1.3,-12.38%,0.27752908164900625
2024/5/2,TXO,202405,0.0356,18400,賣權,13,13,10,10,118,10.0,10.0,20292,1329,5,10.5,304,8.1,,一般,-1,-9.09%,0.26871596266766506
2024/5/2,TXO,202405,0.0356,18500,賣權,16,16,11,12,201,12.0,12.0,20292,2244,10,13,362,9.4,,一般,-2,-14.29%,0.26421238779159173
2024/5/2,TXO,202405,0.0356,18600,賣權,19.5,19.5,12,12,308,12.0,12.0,20292,3955,11.5,13,390,9,,一般,-2.5,-17.24%,0.25131787062568833
2024/5/2,TXO,202405,0.0356,18700,賣權,17.5,17.5,13.5,14,83,14.0,14.0,20292,1143,8.1,14.5,426,11.5,,一般,-1.5,-9.68%,0.24518361129465369
2024/5/2,TXO,202405,0.0356,18800,賣權,19,19,15,16,722,16.0,16.0,20292,2546,15.5,20,465,13,,一般,-2.5,-13.51%,0.2379687438175063
2024/5/2,TXO,202405,0.0356,18900,賣權,30,30,16.5,17,225,17.0,17.0,20292,1700,17,19,510,15,,一般,-3,-15%,0.22719343646143922
2024/5/2,TXO,202405,0.0356,19000,賣權,26,26.5,19.5,20,925,20.0,20.0,20292,5952,19.5,21,570,16.5,,一般,-5,-20%,0.22088427829415078
2024/5/2,TXO,202405,0.0356,19100,賣權,31.5,31.5,22,23.5,887,23.5,23.5,20292,2038,22,29.5,410,19.5,,一般,-4.5,-16.07%,0.21435370695137793
2024/5/2,TXO,202405,0.0356,19200,賣權,36.5,36.5,26,29.5,1166,29.5,29.5,20292,3222,28,30,468,22,,一般,-4,-11.94%,0.21102554175295127
2024/5/2,TXO,202405,0.0356,19300,賣權,43,46,29.5,34,670,34.0,34.0,20292,3350,33.5,34,510,26,,一般,-5.5,-13.92%,0.20318998272380917
2024/5/2,TXO,202405,0.0356,19400,賣權,59,59,37.5,41,485,41.0,41.0,20292,3063,40,45,560,30,,一般,-5,-10.87%,0.19758620261038023
2024/5/2,TXO,202405,0.0356,19500,賣權,70,70,44.5,49.5,1693,49.5,49.5,20292,4055,49,50,825,35.5,,一般,-4.5,-8.33%,0.19194764192330857
2024/5/2,TXO,202405,0.0356,19600,賣權,77,80,54,61,1171,61.0,61.0,20292,3794,56,62,910,43,,一般,-3,-4.69%,0.1875431952982269
2024/5/2,TXO,202405,0.0356,19700,賣權,94,97,66,77,956,77.0,77.0,20292,3114,75,77,705,50,,一般,0,0.00%,0.1850128198861173
2024/5/2,TXO,202405,0.0356,19800,賣權,124,133,81,93,1117,93.0,93.0,20292,4199,91,94,860,60,,一般,-1,-1.06%,0.1795065321881341
2024/5/2,TXO,202405,0.0356,19850,賣權,97,112,90,103,215,103.0,103.0,20292,126,94,105,112,90,,一般,0,0.00%,0.1774027466990135
2024/5/2,TXO,202405,0.0356,19900,賣權,144,144,101,115,1060,115.0,115.0,20292,2932,106,123,825,72,,一般,3,2.68%,0.17610430717418624
2024/5/2,TXO,202405,0.0356,19950,賣權,128,142,111,129,106,129.0,129.0,20292,46,124,132,142,111,,一般,3,2.38%,0.17545784499491512
2024/5/2,TXO,202405,0.0356,20000,賣權,170,186,122,141,2998,141.0,141.0,20292,6559,139,146,920,86,,一般,0,0.00%,0.17243550191292453
2024/5/2,TXO,202405,0.0356,20050,賣權,151,170,136,156,111,156.0,156.0,20292,19,147,236,170,136,,一般,5,3.31%,0.17074252655069655
2024/5/2,TXO,202405,0.0356,20100,賣權,214,214,150,173,1739,173.0,173.0,20292,3641,172,182,1020,100,,一般,12,7.45%,0.1695254544541656
2024/5/2,TXO,202405,0.0356,20150,賣權,179,209,171,191,166,191.0,191.0,20292,44,181,198,209,171,,一般,16,9.14%,0.16803525646075534
2024/5/2,TXO,202405,0.0356,20200,賣權,220,230,183,209,877,209.0,209.0,20292,2564,208,218,1020,122,,一般,19,10%,0.16558553368433396
2024/5/2,TXO,202405,0.0356,20250,賣權,211,252,209,231,197,231.0,231.0,20292,90,221,311,252,209,,一般,22,10.53%,0.1647954093140136
2024/5/2,TXO,202405,0.0356,20300,賣權,254,276,220,251,1353,251.0,251.0,20292,1414,245,259,1170,139,,一般,23,10.09%,0.1616709607045057
2024/5/2,TXO,202405,0.0356,20350,賣權,265,295,240,277,144,277.0,277.0,20292,80,268,292,295,240,,一般,28,11.24%,0.1614311263520019
2024/5/2,TXO,202405,0.0356,20400,賣權,357,357,264,305,593,305.0,305.0,20292,1023,294,310,1210,169,,一般,35,12.96%,0.1614543145741106
2024/5/2,TXO,202405,0.0356,20450,賣權,308,354,307,328,39,328.0,328.0,20292,23,322,347,354,307,,一般,36,12.33%,0.15704400164478532
2024/5/2,TXO,202405,0.0356,20500,賣權,362,386,315,362,234,362.0,362.0,20292,1204,352,374,1270,200,,一般,43,13.48%,0.15895561711944148
2024/5/2,TXO,202405,0.0356,20550,賣權,368,420,351,391,17,391.0,391.0,20292,11,383,407,420,351,,一般,47,13.66%,0.15632872984480062
2024/5/2,TXO,202405,0.0356,20600,賣權,482,482,378,426,184,426.0,426.0,20292,819,419,440,1330,235,,一般,54,14.52%,0.1568518361223262
2024/5/2,TXO,202405,0.0356,20650,賣權,450,450,450,450,1,460.0,460.0,20292,1,451,475,450,450,,一般,47,11.66%,0.15554222370286766
2024/5/2,TXO,202405,0.0356,20700,賣權,476,525,443,481,116,497.0,497.0,20292,417,488,510,1440,274,,一般,53,12.38%,0.15543299737634403
2024/5/2,TXO,202405,0.0356,20750,賣權,520,535,520,535,2,535.0,535.0,20292,0,525,545,535,520,,一般,67,14.32%,0.15505876714171582
2024/5/2,TXO,202405,0.0356,20800,賣權,525,575,525,570,18,570.0,570.0,20292,188,565,585,1340,317,,一般,74,14.92%,0.15069522485962109
2024/5/2,TXO,202405,0.0356,20850,賣權,-,-,-,-,0,615.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,20900,賣權,655,660,605,640,22,655.0,655.0,20292,144,645,670,1480,370,,一般,65,11.30%,0.15253530814692043
2024/5/2,TXO,202405,0.0356,20950,賣權,-,-,-,-,0,700.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,21000,賣權,715,750,715,750,6,745.0,745.0,20292,113,730,745,1780,422,,一般,100,15.38%,0.15651520124821516
2024/5/2,TXO,202405,0.0356,21100,賣權,-,-,-,-,0,835.0,0.0,20292,74,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,21200,賣權,-,-,-,-,0,925.0,0.0,20292,54,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,21300,賣權,-,-,-,-,0,1020.0,0.0,20292,5,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,21400,賣權,-,-,-,-,0,1120.0,0.0,20292,13,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,21500,賣權,-,-,-,-,0,1220.0,0.0,20292,12,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,21600,賣權,-,-,-,-,0,1310.0,0.0,20292,2,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,21700,賣權,-,-,-,-,0,1410.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,21800,賣權,-,-,-,-,0,1510.0,0.0,20292,4,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,21900,賣權,1610,1610,1610,1610,1,1610.0,1610.0,20292,2,1600,1620,2450,1610,,一般,120,8.05%,0.17034023873526688
2024/5/2,TXO,202405,0.0356,22000,賣權,1710,1710,1710,1710,1,1710.0,1710.0,20292,3,1690,1720,2550,1180,,一般,120,7.55%,0.17918425609517658
2024/5/2,TXO,202405,0.0356,22100,賣權,-,-,-,-,0,1810.0,0.0,20292,2,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,22200,賣權,-,-,-,-,0,1910.0,0.0,20292,22,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,22300,賣權,-,-,-,-,0,2010.0,0.0,20292,1,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,22400,賣權,-,-,-,-,0,2110.0,0.0,20292,2,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,22500,賣權,-,-,-,-,0,2210.0,0.0,20292,1,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,22600,賣權,-,-,-,-,0,2310.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,22700,賣權,-,-,-,-,0,2410.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,22800,賣權,-,-,-,-,0,2510.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,22900,賣權,-,-,-,-,0,2610.0,0.0,20292,1,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,23000,賣權,-,-,-,-,0,2710.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,23100,賣權,-,-,-,-,0,2810.0,0.0,20292,1,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,23200,賣權,-,-,-,-,0,2910.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,23300,賣權,-,-,-,-,0,3010.0,0.0,20292,1,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,23400,賣權,-,-,-,-,0,3110.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,23500,賣權,-,-,-,-,0,3210.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,23600,賣權,-,-,-,-,0,3310.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,23700,賣權,-,-,-,-,0,3410.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,23800,賣權,-,-,-,-,0,3510.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,23900,賣權,-,-,-,-,0,3610.0,0.0,20292,0,-,-,-,-,,一般,-,-,
2024/5/2,TXO,202405,0.0356,24000,賣權,-,-,-,-,0,3710.0,0.0,20292,1,-,-,-,-,,一般,-,-,
