交易日期,契約,到期月份(週別),T,K,買賣權,開盤價,最高價,最低價,收盤價,成交量,P,F,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%,Implied Volatility
2024/5/2,TXO,202405,0.0356,15800,賣權,1.8,1.8,1.8,1.8,21,1.8,20292,2382,1.4,2.8,26.5,1.0,,一般,-1.0,-0.3571,0.49236276817639624
2024/5/2,TXO,202405,0.0356,16400,賣權,2.8,2.9,2.8,2.9,4,2.9,20292,62,1.2,12.0,15.0,1.1,,一般,-0.4,-0.1212,0.44784043739719775
2024/5/2,TXO,202405,0.0356,16500,賣權,2.4,3.1,2.4,3.1,9,3.1,20292,91,0.9,12.0,45.0,2.4,,一般,-0.2,-0.0606,0.43966659226600613
2024/5/2,TXO,202405,0.0356,16700,賣權,3.5,3.7,3.5,3.7,22,3.7,20292,83,0.9,12.0,48.0,2.3,,一般,0.2,0.0571,0.4254055383215779
2024/5/2,TXO,202405,0.0356,16800,賣權,3.6,3.7,3.5,3.6,27,3.7,20292,464,0.9,12.0,53.0,2.8,,一般,0.0,0.0,0.4137594181598572
2024/5/2,TXO,202405,0.0356,16900,賣權,3.9,3.9,3.5,3.8,21,3.8,20292,189,0.9,12.0,58.0,1.9,,一般,-0.4,-0.0952,0.4034543468956541
2024/5/2,TXO,202405,0.0356,17000,賣權,2.8,2.8,2.8,2.8,1,4.1,20292,1054,0.9,4.8,65.0,2.1,,一般,-2.0,-0.4167,0.395531179897195
2024/5/2,TXO,202405,0.0356,17200,賣權,5.0,5.0,4.6,4.6,3,4.6,20292,162,0.9,12.5,77.0,3.2,,一般,-0.7,-0.1321,0.3777270812755043
2024/5/2,TXO,202405,0.0356,17300,賣權,5.1,5.1,5.1,5.1,1,5.1,20292,168,4.0,12.5,91.0,3.7,,一般,-0.4,-0.0727,0.37094627716549694
2024/5/2,TXO,202405,0.0356,17400,賣權,6.0,6.0,5.0,5.0,3,5.1,20292,266,2.8,5.8,98.0,2.6,,一般,-0.7,-0.1228,0.3591388891187955
2024/5/2,TXO,202405,0.0356,17500,賣權,6.0,6.2,5.1,5.1,5,5.1,20292,594,2.5,7.5,110.0,3.1,,一般,-0.7,-0.1207,0.3473615283858296
2024/5/2,TXO,202405,0.0356,17600,賣權,6.1,6.6,5.7,5.7,33,5.7,20292,1706,0.9,6.8,128.0,3.2,,一般,-0.2,-0.0339,0.34069202930050624
2024/5/2,TXO,202405,0.0356,17700,賣權,6.6,7.0,6.6,6.6,13,6.6,20292,374,5.7,7.0,141.0,3.5,,一般,-0.3,-0.0435,0.33562258475254086
2024/5/2,TXO,202405,0.0356,17800,賣權,8.0,8.0,6.5,6.5,12,6.7,20292,3331,5.0,7.0,161.0,2.8,,一般,-0.5,-0.0714,0.324282833392933
2024/5/2,TXO,202405,0.0356,17900,賣權,7.6,8.0,6.8,6.8,29,6.8,20292,531,0.9,11.0,167.0,5.0,,一般,-0.4,-0.0556,0.312915209706821
2024/5/2,TXO,202405,0.0356,18000,賣權,9.6,9.6,7.1,7.1,69,7.1,20292,2694,7.0,12.0,200.0,6.0,,一般,-2.8,-0.2828,0.30278511744843517
2024/5/2,TXO,202405,0.0356,18100,賣權,9.3,9.4,7.9,8.0,60,8.0,20292,681,7.5,15.0,224.0,5.8,,一般,-1.9,-0.1919,0.295965620078179
2024/5/2,TXO,202405,0.0356,18200,賣權,9.6,10.0,9.6,9.6,17,8.6,20292,2788,8.0,10.0,223.0,6.9,,一般,-0.4,-0.04,0.2869174026159073
2024/5/2,TXO,202405,0.0356,18300,賣權,10.5,11.0,9.2,9.2,70,9.2,20292,1126,1.0,10.5,271.0,7.2,,一般,-1.3,-0.1238,0.27752908164900625
2024/5/2,TXO,202405,0.0356,18400,賣權,13.0,13.0,10.0,10.0,118,10.0,20292,1329,5.0,10.5,304.0,8.1,,一般,-1.0,-0.0909,0.26871596266766506
2024/5/2,TXO,202405,0.0356,18500,賣權,16.0,16.0,11.0,12.0,201,12.0,20292,2244,10.0,13.0,362.0,9.4,,一般,-2.0,-0.1429,0.26421238779159173
2024/5/2,TXO,202405,0.0356,18600,賣權,19.5,19.5,12.0,12.0,308,12.0,20292,3955,11.5,13.0,390.0,9.0,,一般,-2.5,-0.1724,0.25131787062568833
2024/5/2,TXO,202405,0.0356,18700,賣權,17.5,17.5,13.5,14.0,83,14.0,20292,1143,8.1,14.5,426.0,11.5,,一般,-1.5,-0.0968,0.24518361129465369
2024/5/2,TXO,202405,0.0356,18800,賣權,19.0,19.0,15.0,16.0,722,16.0,20292,2546,15.5,20.0,465.0,13.0,,一般,-2.5,-0.1351,0.2379687438175063
2024/5/2,TXO,202405,0.0356,18900,賣權,30.0,30.0,16.5,17.0,225,17.0,20292,1700,17.0,19.0,510.0,15.0,,一般,-3.0,-0.15,0.22719343646143922
2024/5/2,TXO,202405,0.0356,19000,賣權,26.0,26.5,19.5,20.0,925,20.0,20292,5952,19.5,21.0,570.0,16.5,,一般,-5.0,-0.2,0.22088427829415078
2024/5/2,TXO,202405,0.0356,19100,賣權,31.5,31.5,22.0,23.5,887,23.5,20292,2038,22.0,29.5,410.0,19.5,,一般,-4.5,-0.1607,0.21435370695137793
2024/5/2,TXO,202405,0.0356,19200,賣權,36.5,36.5,26.0,29.5,1166,29.5,20292,3222,28.0,30.0,468.0,22.0,,一般,-4.0,-0.1194,0.21102554175295127
2024/5/2,TXO,202405,0.0356,19300,賣權,43.0,46.0,29.5,34.0,670,34.0,20292,3350,33.5,34.0,510.0,26.0,,一般,-5.5,-0.1392,0.20318998272380917
2024/5/2,TXO,202405,0.0356,19400,賣權,59.0,59.0,37.5,41.0,485,41.0,20292,3063,40.0,45.0,560.0,30.0,,一般,-5.0,-0.1087,0.19758620261038023
2024/5/2,TXO,202405,0.0356,19500,賣權,70.0,70.0,44.5,49.5,1693,49.5,20292,4055,49.0,50.0,825.0,35.5,,一般,-4.5,-0.0833,0.19194764192330857
2024/5/2,TXO,202405,0.0356,19600,賣權,77.0,80.0,54.0,61.0,1171,61.0,20292,3794,56.0,62.0,910.0,43.0,,一般,-3.0,-0.0469,0.1875431952982269
2024/5/2,TXO,202405,0.0356,19700,賣權,94.0,97.0,66.0,77.0,956,77.0,20292,3114,75.0,77.0,705.0,50.0,,一般,0.0,0.0,0.1850128198861173
2024/5/2,TXO,202405,0.0356,19800,賣權,124.0,133.0,81.0,93.0,1117,93.0,20292,4199,91.0,94.0,860.0,60.0,,一般,-1.0,-0.0106,0.1795065321881341
2024/5/2,TXO,202405,0.0356,19850,賣權,97.0,112.0,90.0,103.0,215,103.0,20292,126,94.0,105.0,112.0,90.0,,一般,0.0,0.0,0.1774027466990135
2024/5/2,TXO,202405,0.0356,19900,賣權,144.0,144.0,101.0,115.0,1060,115.0,20292,2932,106.0,123.0,825.0,72.0,,一般,3.0,0.0268,0.17610430717418624
2024/5/2,TXO,202405,0.0356,19950,賣權,128.0,142.0,111.0,129.0,106,129.0,20292,46,124.0,132.0,142.0,111.0,,一般,3.0,0.0238,0.17545784499491512
2024/5/2,TXO,202405,0.0356,20000,賣權,170.0,186.0,122.0,141.0,2998,141.0,20292,6559,139.0,146.0,920.0,86.0,,一般,0.0,0.0,0.17243550191292453
2024/5/2,TXO,202405,0.0356,20050,賣權,151.0,170.0,136.0,156.0,111,156.0,20292,19,147.0,236.0,170.0,136.0,,一般,5.0,0.0331,0.17074252655069655
2024/5/2,TXO,202405,0.0356,20100,賣權,214.0,214.0,150.0,173.0,1739,173.0,20292,3641,172.0,182.0,1020.0,100.0,,一般,12.0,0.0745,0.1695254544541656
2024/5/2,TXO,202405,0.0356,20150,賣權,179.0,209.0,171.0,191.0,166,191.0,20292,44,181.0,198.0,209.0,171.0,,一般,16.0,0.0914,0.16803525646075534
2024/5/2,TXO,202405,0.0356,20200,賣權,220.0,230.0,183.0,209.0,877,209.0,20292,2564,208.0,218.0,1020.0,122.0,,一般,19.0,0.1,0.16558553368433396
2024/5/2,TXO,202405,0.0356,20250,賣權,211.0,252.0,209.0,231.0,197,231.0,20292,90,221.0,311.0,252.0,209.0,,一般,22.0,0.1053,0.1647954093140136
2024/5/2,TXO,202405,0.0356,20300,賣權,254.0,276.0,220.0,251.0,1353,251.0,20292,1414,245.0,259.0,1170.0,139.0,,一般,23.0,0.1009,0.1616709607045057
2024/5/2,TXO,202405,0.0356,20350,賣權,265.0,295.0,240.0,277.0,144,277.0,20292,80,268.0,292.0,295.0,240.0,,一般,28.0,0.1124,0.1614311263520019
2024/5/2,TXO,202405,0.0356,20400,賣權,357.0,357.0,264.0,305.0,593,305.0,20292,1023,294.0,310.0,1210.0,169.0,,一般,35.0,0.1296,0.1614543145741106
2024/5/2,TXO,202405,0.0356,20450,賣權,308.0,354.0,307.0,328.0,39,328.0,20292,23,322.0,347.0,354.0,307.0,,一般,36.0,0.1233,0.15704400164478532
2024/5/2,TXO,202405,0.0356,20500,賣權,362.0,386.0,315.0,362.0,234,362.0,20292,1204,352.0,374.0,1270.0,200.0,,一般,43.0,0.1348,0.15895561711944148
2024/5/2,TXO,202405,0.0356,20550,賣權,368.0,420.0,351.0,391.0,17,391.0,20292,11,383.0,407.0,420.0,351.0,,一般,47.0,0.1366,0.15632872984480062
2024/5/2,TXO,202405,0.0356,20600,賣權,482.0,482.0,378.0,426.0,184,426.0,20292,819,419.0,440.0,1330.0,235.0,,一般,54.0,0.1452,0.1568518361223262
2024/5/2,TXO,202405,0.0356,20650,賣權,450.0,450.0,450.0,450.0,1,460.0,20292,1,451.0,475.0,450.0,450.0,,一般,47.0,0.1166,0.15554222370286766
2024/5/2,TXO,202405,0.0356,20700,賣權,476.0,525.0,443.0,481.0,116,497.0,20292,417,488.0,510.0,1440.0,274.0,,一般,53.0,0.1238,0.15543299737634403
2024/5/2,TXO,202405,0.0356,20750,賣權,520.0,535.0,520.0,535.0,2,535.0,20292,0,525.0,545.0,535.0,520.0,,一般,67.0,0.1432,0.15505876714171582
2024/5/2,TXO,202405,0.0356,20800,賣權,525.0,575.0,525.0,570.0,18,570.0,20292,188,565.0,585.0,1340.0,317.0,,一般,74.0,0.1492,0.15069522485962109
2024/5/2,TXO,202405,0.0356,20900,賣權,655.0,660.0,605.0,640.0,22,655.0,20292,144,645.0,670.0,1480.0,370.0,,一般,65.0,0.113,0.15253530814692043
2024/5/2,TXO,202405,0.0356,21000,賣權,715.0,750.0,715.0,750.0,6,745.0,20292,113,730.0,745.0,1780.0,422.0,,一般,100.0,0.1538,0.15651520124821516
2024/5/2,TXO,202405,0.0356,21900,賣權,1610.0,1610.0,1610.0,1610.0,1,1610.0,20292,2,1600.0,1620.0,2450.0,1610.0,,一般,120.0,0.0805,0.17034023873526688
2024/5/2,TXO,202405,0.0356,22000,賣權,1710.0,1710.0,1710.0,1710.0,1,1710.0,20292,3,1690.0,1720.0,2550.0,1180.0,,一般,120.0,0.0755,0.17918425609517658
